username,firstname,lastname,password
jsmith,John,Smith,p@ssw3rd
janesmith,Jane,Smith,s3cret
joesmith,Joe,Smith,blackd0g
jimsmith,Jim,Smith,wh1it3cAt
jacksmith,Jack,Smith,blu3FisH
johndoe,John,Doe,R3dHors3
janedoe,Jane,Doe,GreenFr0g
msanders,Michael,Sanders,YellowTurtle
boballen,Bob,Allen,PurpleSnake
jamesq,James,Quimbly,PinkPig
mscott,Michael,Scott,WhiteZebra
jhalprin,Jim,Halprin,BlackTurkey
tjones,Teresa,Jones,BlueHawk
tomjones,Tommy,Jones,GreenTree
greggjones,Gregg,Jones,OrangeFish
dthompson,Daniel,Thompson,RedBoat
pjones,Pamela,Jones,BlackSnake
fsmith,Fred,Smith,WhiteHorse
fransmith,Fran,Smith,YellowDuck
cthompson,Chris,Thompson,BlueEel
